PARAMETRO|VALOR|DESCRIPCION_OPCIONAL
P484|38416,69|
P485|36789,36|
P486|35110,98|
P487|25000|
P488|30000|
P489|100000|
P490|0,08|
P491|0,035|
P492|36733,04|
P493|36856,5|
P494|37093,52|
P495|37261,98|
P496|37438,91|
P497|37571,86|
P498|37578,95|
P499|37754,47|
P500|37910,42|
P501|37971,42|
P502|38247,92|
P503|35287,5|
P504|35509,68|
P505|35575,48|
P506|35838,55|
P507|36032,89|
P508|36089,48|
P509|36049,05|
P510|36130,31|
P511|36197,53|
P512|36388,07|
P513|36563,87|
P514|31212,65|
P515|31539,2|
P516|31727,74|
P517|32176,49|
P518|32679,54|
P519|33086,83|
P520|33417,26|
P521|33836,51|
P522|34258,23|
P523|34600,35|
P524|34811,8|
P525|1390840000|
P526|75000|
P527|0,2|
P528|1100000|
P529|210000|
P530|10000100000|
P531|1100000|
P532|10100000|
P533|500100000|
P534|1000100000|
P535|0,7|
P536|20030101|
P537|0|
P538|0|
P539|38419,17|
P540|38381,93|
P541|38663,05|
P542|38899,12|
P543|39081,9|
P544|39191,97|
P545|39269,69|
P546|39173,95|
P547|39394,46|
P548|39485,65|
P549|39602,77|
P550|39643,59|
P551|0,15|
P552|0,35|
P553|2383677600|
P554|1100000000|
P555|55000000|
P556|11000000|
P557|1100000|
P558|550000000|
P559|5500000|
P560|110000000000|
P561|55000000|
P562|1100000|
P563|110000000000|
P564|1100000|
P565|550000000000|
P566|110000000|
P567|550000000|
P568|110000000|
P569|110000000|
P570|11000000|
P571|1100000|
P572|11000000|
P573|1100000|
P574|550000000|
P575|1100000|
P576|550000000000|
P577|11000000000|
P578|110000000|
P579|550000000|
P580|550000000|
P581|5500000|
P582|2020|
P583|0,65|
P584|0,45|
P585|1|
P586|0,32|
P587|0|
P588|0|
P589|0|
P590|0|
P591|0|
P592|0|
P593|0|
P594|0|
P595|0|
P596|100000|
P597|0|
P598|70000|
P599|140000|
P600|140000|
P601|70000|
P602|70000|
P603|70000|
P604|70000|
P605|70000|
P606|70000|
P607|140000|
P608|140000|
P609|140000|
P610|140000|
P611|140000|
P612|140000|
P613|0|
P614|0|
P615|0|
P616|0|
P617|0|
P618|0|
P619|0|
P620|0|
P621|0|
P622|0|
P623|0|
P624|0|
P625|1|
P626|50000000|
P627|2|
P628|0,6|
P629|0,1|
P630|0,3|
P631|0,5|
P632|0,5|
P633|0,5|
P634|0,5|
P635|0,5|
P636|0,5|
P637|8|
P638|1,037|
P639|0,33333|
P640|1000|
P641|1390840000|
P642|345750210|
P643|192083450|
P644|653083730|
P645|158911840|
P646|2,5|
P647|0,27|
P648|0,4|
P649|0,65|
P650|198639800|
P651|0,369863|
P652|0,415385|
P653|0,08|
P654|0,35|
P655|0,05|
P656|317823680|
P657|0,03|
P658|70000|
P659|70000|
P660|70000|
P661|0|
P662|0|
P663|0|
P664|0,5|
P665|1|
P666|1|
P667|1|
P668|500000|
P669|0,32|
P670|0,34|
P671|20|
P672|20190309|
P673|1|
P675|0,01|
P676|61603000|
P677|0,03|
P678|0,8|
P679|1|
P680|41700000|
P681|20260615|
P682|5000|
P683|0,32|
P684|0,22|
P685|0,68|
P686|1412958|
P687|64574|
P688|0|
P689|30000000|
P690|47999999|
P692|5000|
P694|400000|
P695|2000001|
P696|0,3|
P697|650000|
P698|0,7|
P699|20200831|
P700|20200204|
P701|20200808|
P702|1|
P703|20200930|
P704|0,125|
P705|2000000|
P706|220000|
P707|3000000|
P708|20201201|
P709|0,142857|
P710|0,225|
P711|0,08|
P712|0,315789|
P713|20210101|
P714|0,145|
P715|0|
P716|7|
P717|8|
P718|9|
P719|11|
P720|834504|
P721|25035120|
P722|258696240|
P723|20260212|
P724|0|
P725|0,05|
P726|20260102|
P727|0,045|
P728|0|
P729|0|
P730|0|
P731|500000|
P732|695420000|
P733|0,0048|
P734|20220902|
P735|834504|
P736|10|
P737|0,001|
P738|1112672|
P739|0,01|
P740|1|
P741|2|
P742|3|
P743|5|
P744|7|
P745|1300000|
P746|20260327|
P747|0,01|
P748|20000101|
P749|20251008|
P750|20241231|
P751|50000|
P752|251477987|
P753|0,2|
P754|87,8|
P755|20250501|
P756|80|
P757|1,05|
P758|50000000|
P759|1000|
P760|200000|
P761|300000|
P762|500000|
P763|3000000|
P764|45000|
P765|20260401|
P766|30042026|
P767|08052026|
P800|4,415|
P801|3,935|
P802|3,616|
P803|3,341|
P804|3,134|
P805|2,949|
P806|2,827|
P807|2,755|
P808|2,633|
P809|2,551|
P810|2,48|
P811|2,406|
P812|2,348|
P813|2,268|
P814|2,222|
P815|2,069|
P816|1,9|
P817|1,9|
P818|1,856|
P819|1,786|
P820|1,748|
